Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1988-12-01,0,1,1,2,2,2,0,1
1989-01-01,1,1,0,0,0,0,0,2
1989-02-01,0,0,0,0,0,0,-0.25,0
1989-03-01,-2.288872996,-1.49205214,-0.49205214,-0.49205214,-1.187283424,-1.49205214,0,-2.222182489
1989-04-01,1.293710594,0.496889739,0.496889739,0.501727337,1.192121022,1.496889739,0,0.239114085
1989-05-01,-0.822488671,0.567973897,0.567973897,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1989-06-01,0.817651072,0.427188504,0.427188504,1.463914441,1.427188504,0.427188504,0,3.495159765
1989-07-01,0,-1,-1,-1,-1,0,0,-4
1989-08-01,0,1,1,1,0,0,0,3
1989-09-01,0,0,0,0,1,1,0,-1.5
1989-10-01,0,0,-1,-1,-1,-1,0,-0.5
1989-11-01,0,0,1,1,0,0,0,2
1989-12-01,-2,-2,-1,-1,0,0,0,-6
1990-01-01,0,1,1,0,0,0,0,2
1990-02-01,0,0,0,0,0,0,-0.25,0
1990-03-01,0.711127004,0.50794786,0.50794786,1.50794786,1.812716576,1.50794786,0,1.277817511
1990-04-01,-0.706289406,-1.503110261,-1.503110261,-1.498272663,-1.807878978,-1.503110261,0,-3.260885915
1990-05-01,1.177511329,0.567973897,1.567973897,1.526410362,0.567973897,0.567973897,0,3.98790864
1990-06-01,-1.182348928,-0.572811496,-0.572811496,-0.536085559,0.427188504,0.427188504,0,-3.504840235
1990-07-01,0,0,-1,-1,-1,-1,0,-0.5
1990-08-01,0,0,1,1,1,0,0,3
1990-09-01,-1,-1,-1,-1,-1,0,0,-5
1990-10-01,1,1,0,0,0,0,0,2
1990-11-01,0,0,0,1,1,0,0,2
1990-12-01,0,-2,-2,-1,-1,0,0,-6
1991-01-01,0,0,1,1,0,0,0,2
1991-02-01,0,0,0,0,0,0,-0.25,0
1991-03-01,-1.288872996,-1.49205214,-1.49205214,-1.49205214,-1.187283424,-0.49205214,0,-5.722182489
1991-04-01,1.293710594,1.496889739,0.496889739,0.501727337,1.192121022,0.496889739,0,3.739114085
1991-05-01,-0.822488671,-0.432026103,-0.432026103,0.526410362,0.567973897,-0.432026103,0,0.48790864
1991-06-01,-0.182348928,-0.572811496,-0.572811496,-0.536085559,-0.572811496,0.427188504,0,-3.504840235
1991-07-01,1,1,1,0,0,0,0,3
1991-08-01,0,0,0,1,1,1,0,-0.5
1991-09-01,0,-1,-1,-1,-1,-1,0,-1.5
1991-10-01,0,1,1,0,0,0,0,2
1991-11-01,0,0,0,0,1,1,0,-1.5
1991-12-01,0,0,-2,-2,-1,-1,0,-2.5
1992-01-01,0,0,0,1,1,0,0,2
1992-02-01,0,0,0,0,0,1,0.75,-2.5
1992-03-01,0.711127004,0.50794786,-0.49205214,-0.49205214,-0.187283424,-0.49205214,0,1.277817511
